month,accident_count,vmt_millions,wti_usd_per_barrel,gas_usd_per_gallon,new_vehicle_cpi,used_vehicle_cpi,new_auto_loan_rate_pct
2016-01-01,7,239679.0,31.683157894736844,1.9485000000000001,147.456,144.638,
2016-02-01,985,223011.0,30.323,1.7635999999999998,148.268,143.979,4.11
2016-03-01,6330,265147.0,37.54636363636364,1.96875,148.227,143.659,
2016-04-01,18088,269653.0,40.7552380952381,2.11275,147.895,145.475,
2016-05-01,17610,277972.0,46.712380952380954,2.2682,147.646,146.416,4.15
2016-06-01,30538,276991.0,48.75727272727273,2.3655,147.245,144.887,
2016-07-01,45780,285160.0,44.6515,2.239,147.119,143.27,
2016-08-01,56457,279213.0,44.72434782608696,2.1776,146.713,142.803,4.25
2016-09-01,54698,262039.0,45.18238095238095,2.2185,146.499,144.851,
2016-10-01,55669,275610.0,49.775238095238095,2.2494,146.896,142.217,
2016-11-01,65040,255154.0,45.66095238095238,2.1814999999999998,147.027,139.975,4.05
2016-12-01,59619,264778.0,51.9704761904762,2.25425,147.299,139.457,
2017-01-01,55713,242600.0,52.504,2.3489999999999998,148.848,138.761,
2017-02-01,51679,225644.0,53.46842105263158,2.3040000000000003,148.993,138.713,4.21
2017-03-01,57315,268343.0,49.32782608695652,2.325,148.543,139.232,
2017-04-01,48115,272864.0,51.060526315789474,2.41725,148.457,138.596,
2017-05-01,41136,281264.0,48.47636363636364,2.3914,148.033,138.601,4.24
2017-06-01,46272,280290.0,45.177727272727275,2.3465,147.262,137.691,
2017-07-01,42459,288566.0,46.630526315789474,2.2998,146.19,136.872,
2017-08-01,80955,282558.0,48.03695652173913,2.38025,145.712,136.875,4.36
2017-09-01,76902,265212.0,49.822,2.64525,145.037,135.033,
2017-10-01,74975,278888.0,51.57772727272727,2.505,144.868,137.803,
2017-11-01,70127,258159.0,56.63857142857143,2.5635,145.442,138.261,4.51
2017-12-01,71642,267958.0,57.8815,2.47675,146.522,138.123,
2018-01-01,75093,244736.0,63.698571428571434,2.5545999999999998,146.996,138.559,
2018-02-01,71535,227759.0,62.22947368421052,2.58725,146.807,138.643,4.75
2018-03-01,74484,270705.0,62.724761904761905,2.59125,146.727,138.212,
2018-04-01,72657,275127.0,66.25380952380952,2.757,146.069,137.876,
2018-05-01,76529,283713.0,69.97818181818182,2.9007500000000004,146.349,138.533,4.99
2018-06-01,67831,282648.0,67.87333333333333,2.89075,146.562,137.952,
2018-07-01,65802,290989.0,70.98142857142857,2.8486000000000002,146.526,137.608,
2018-08-01,76436,284989.0,68.05565217391305,2.83575,146.149,138.093,4.96
2018-09-01,73354,267434.0,70.2321052631579,2.8355,145.715,136.92,
2018-10-01,87270,281382.0,70.74869565217391,2.8600000000000003,145.588,138.247,
2018-11-01,82156,260473.0,56.963499999999996,2.64725,145.826,139.763,5.36
2018-12-01,70279,270370.0,49.522777777777776,2.3655999999999997,146.126,140.18,
2019-01-01,79368,248927.0,51.37571428571429,2.24775,147.059,142.214,
2019-02-01,74631,231791.0,54.95473684210527,2.30925,147.226,142.272,5.24
2019-03-01,69437,272379.0,58.151428571428575,2.516,147.788,141.218,
2019-04-01,73020,273413.0,63.862380952380946,2.7984,147.84,139.895,
2019-05-01,73898,289711.0,60.82681818181818,2.85925,147.659,138.573,5.36
2019-06-01,65525,281359.0,54.657500000000006,2.71575,147.417,138.241,
2019-07-01,68257,291520.0,57.35809523809524,2.7399999999999998,147.035,138.132,
2019-08-01,75269,293308.0,54.80590909090909,2.621,146.456,138.686,5.27
2019-09-01,87699,273319.0,56.947,2.5922,145.854,138.694,
2019-10-01,106914,283961.0,53.96304347826087,2.627,145.726,139.701,
2019-11-01,81920,260326.0,57.048947368421054,2.59775,145.728,139.579,5.37
2019-12-01,98364,261757.0,59.81666666666667,2.555,146.22,140.088,
2020-01-01,92037,260847.0,57.519047619047626,2.5477499999999997,147.253,139.424,
2020-02-01,85848,242695.0,50.54263157894737,2.442,147.803,140.593,5.15
2020-03-01,86054,226638.0,29.207727272727276,2.2342,147.124,141.667,
2020-04-01,87845,167617.0,16.547619047619047,1.8405,147.007,138.89,
2020-05-01,87700,221006.0,28.5625,1.8695,147.222,137.922,5.14
2020-06-01,100470,250330.0,38.307272727272725,2.0822,147.108,134.156,
2020-07-01,35227,265550.0,40.710454545454546,2.18325,147.803,136.77,
2020-08-01,37297,265060.0,42.33904761904762,2.1824,147.412,144.102,4.98
2020-09-01,82912,257531.0,39.63428571428571,2.18275,147.361,152.968,
2020-10-01,127266,266596.0,39.39590909090909,2.158,147.956,155.964,
2020-11-01,166574,238300.0,40.93736842105263,2.1082,148.063,154.817,4.8
2020-12-01,172368,241451.0,47.025,2.19525,149.091,154.216,
2021-01-01,139848,224959.0,52.008421052631576,2.33425,149.377,153.361,
2021-02-01,141624,207160.0,59.04631578947369,2.501,149.515,153.647,4.96
2021-03-01,83121,262065.0,62.333043478260876,2.8104,149.321,154.93,
2021-04-01,82962,252218.0,61.71666666666666,2.85825,149.892,168.006,
2021-05-01,92959,276639.0,65.1695,2.9852,152.143,178.929,5.05
2021-06-01,118555,279209.0,71.37818181818182,3.06375,154.847,194.846,
2021-07-01,102010,288443.0,72.4852380952381,3.136,157.203,193.734,
2021-08-01,108795,279596.0,67.73045454545455,3.1578,158.652,190.066,4.6
2021-09-01,121633,270461.0,71.64619047619047,3.175,160.244,190.308,
2021-10-01,120728,277877.0,81.47666666666666,3.2904999999999998,162.527,197.214,
2021-11-01,141409,260433.0,79.14750000000001,3.3948,164.511,203.485,4.67
2021-12-01,158789,261028.0,71.71181818181819,3.3064999999999998,166.653,211.728,
2022-01-01,101801,236055.0,83.22200000000001,3.3146,167.582,215.494,
2022-02-01,121876,231137.0,91.64105263157894,3.5172499999999998,168.027,216.876,4.52
2022-03-01,104312,271869.0,108.50260869565217,4.22175,168.056,209.646,
2022-04-01,143523,258001.0,101.7775,4.1085,169.699,206.194,
2022-05-01,115782,282678.0,109.55238095238094,4.4436,171.35,207.673,4.85
2022-06-01,95559,277059.0,114.83714285714285,4.929,172.546,208.687,
2022-07-01,103728,281976.0,101.619,4.5592500000000005,173.618,206.552,
2022-08-01,111997,284347.0,93.66521739130435,3.975,174.598,204.837,5.5
2022-09-01,96617,275638.0,84.25809523809524,3.70025,175.312,203.94,
2022-10-01,57503,280673.0,87.5547619047619,3.8152,176.157,201.171,
2022-11-01,88386,258728.0,84.37047619047618,3.685,176.354,196.659,6.55
2022-12-01,127722,258030.0,76.43714285714286,3.21,176.463,193.008,
2023-01-01,108815,248718.0,78.123,3.3391999999999995,177.276,190.423,
2023-02-01,37428,236170.0,76.83263157894737,3.38875,177.817,187.711,7.48
2023-03-01,20309,272758.0,73.27782608695652,3.4219999999999997,178.342,186.619,
